"2024-02-18-18-00",0
"2024-02-19-06-00",0
"2024-02-19-07-00","2/25"
"2024-02-19-08-00","89/100"
"2024-02-19-09-00","44/25"
"2024-02-19-10-00","31/25"
"2024-02-19-11-00","201/100"
"2024-02-19-12-00","17/4"
"2024-02-19-13-00","359/100"
"2024-02-19-14-00","58/25"
"2024-02-19-15-00","163/100"
"2024-02-19-16-00","4/5"
"2024-02-19-17-00","3/20"
"2024-02-19-18-00",0
"2024-02-20-06-00",0
"2024-02-20-07-00","2/25"
"2024-02-20-08-00","53/100"
"2024-02-20-09-00","26/25"
"2024-02-20-10-00","144/25"
"2024-02-20-11-00","154/25"
"2024-02-20-12-00","97/10"
"2024-02-20-13-00","1163/100"
"2024-02-20-14-00","471/50"
"2024-02-20-15-00","101/20"
"2024-02-20-16-00","67/50"
"2024-02-20-17-00","7/20"
"2024-02-20-18-00",0
"2024-02-21-06-00",0
"2024-02-21-07-00","2/25"
"2024-02-21-08-00","11/20"
"2024-02-21-09-00","27/20"
"2024-02-21-10-00","61/10"
"2024-02-21-11-00","473/50"
"2024-02-21-12-00","129/20"
"2024-02-21-13-00","443/100"
"2024-02-21-14-00","102/25"
"2024-02-21-15-00","367/100"
"2024-02-21-16-00","229/100"
"2024-02-21-17-00","13/20"
"2024-02-21-18-00",0
"2024-02-22-06-00",0
"2024-02-22-07-00","3/25"
"2024-02-22-08-00","67/50"
"2024-02-22-09-00","263/100"
"2024-02-22-10-00",4
"2024-02-22-11-00","214/25"
"2024-02-22-12-00","87/10"
"2024-02-22-13-00","25/4"
"2024-02-22-14-00","403/100"
"2024-02-22-15-00","127/100"
"2024-02-22-16-00","49/100"
"2024-02-22-17-00","7/50"
"2024-02-22-18-00",0
"2024-02-23-06-00",0
"2024-02-23-07-00","1/50"
"2024-02-23-08-00","63/100"
"2024-02-23-09-00","32/25"
"2024-02-23-10-00","77/50"
"2024-02-23-11-00","93/50"
"2024-02-23-12-00","171/100"
"2024-02-23-13-00","59/25"
"2024-02-23-14-00","189/100"
"2024-02-23-15-00","81/100"
"2024-02-23-16-00","29/100"
"2024-02-23-17-00","3/100"
"2024-02-23-18-00",0
"2024-02-24-06-00",0
"2024-02-24-07-00","1/25"
"2024-02-24-08-00","111/100"
"2024-02-24-09-00","229/100"
"2024-02-24-10-00","211/50"
"2024-02-24-11-00","591/100"
"2024-02-24-12-00","11/2"
"2024-02-24-13-00","563/100"
"2024-02-24-14-00","229/50"
"2024-02-24-15-00","337/100"
"2024-02-24-16-00","183/100"
"2024-02-24-17-00","9/20"
"2024-02-24-18-00",0
"2024-02-25-06-00",0
"2024-02-25-07-00","3/20"
"2024-02-25-08-00","99/100"
"2024-02-25-09-00","209/100"
"2024-02-25-10-00",4
"2024-02-25-11-00","879/100"
"2024-02-25-12-00","351/50"
"2024-02-25-13-00","79/20"
"2024-02-25-14-00","119/50"
"2024-02-25-15-00","239/100"
"2024-02-25-16-00","57/100"
"2024-02-25-17-00","19/100"
"2024-02-25-18-00",0
"2024-02-26-06-00",0
"2024-02-26-07-00","3/20"
"2024-02-26-08-00","31/20"
"2024-02-26-09-00","21/5"
"2024-02-26-10-00","381/100"
"2024-02-26-11-00","441/100"
"2024-02-26-12-00","87/10"
"2024-02-26-13-00","907/100"
"2024-02-26-14-00","147/20"
"2024-02-26-15-00","128/25"
"2024-02-26-16-00","97/50"
"2024-02-26-17-00","41/100"
